mereni_id,sensor_id,casova_znamka,hodnota,jednotka
1,1,2025-03-09 10:15:36,979.36,lux
2,1,2025-03-09 13:15:36,969.37,lux
3,1,2025-03-09 16:15:36,798.58,lux
4,1,2025-03-09 19:15:36,427.03,lux
5,1,2025-03-09 22:15:36,65.42,lux
6,1,2025-03-10 01:15:36,16.64,lux
7,1,2025-03-10 04:15:36,289.48,lux
8,1,2025-03-10 07:15:36,677.71,lux
9,1,2025-03-10 10:15:36,889.21,lux
10,1,2025-03-10 13:15:36,1000.0,lux
11,1,2025-03-10 16:15:36,715.24,lux
12,1,2025-03-10 19:15:36,353.33,lux
13,1,2025-03-10 22:15:36,68.61,lux
14,1,2025-03-11 01:15:36,13.78,lux
15,1,2025-03-11 04:15:36,206.88,lux
16,1,2025-03-11 07:15:36,594.02,lux
17,1,2025-03-11 10:15:36,838.51,lux
18,1,2025-03-11 13:15:36,1000.0,lux
19,1,2025-03-11 16:15:36,681.9,lux
20,1,2025-03-11 19:15:36,318.25,lux
21,1,2025-03-11 22:15:36,76.81,lux
22,1,2025-03-12 01:15:36,16.65,lux
23,1,2025-03-12 04:15:36,251.69,lux
24,1,2025-03-12 07:15:36,539.73,lux
25,1,2025-03-12 10:15:36,882.22,lux
26,1,2025-03-12 13:15:36,993.87,lux
27,1,2025-03-12 16:15:36,663.68,lux
28,1,2025-03-12 19:15:36,384.51,lux
29,1,2025-03-12 22:15:36,62.96,lux
30,1,2025-03-13 01:15:36,16.54,lux
31,1,2025-03-13 04:15:36,234.96,lux
32,1,2025-03-13 07:15:36,745.99,lux
33,1,2025-03-13 10:15:36,931.75,lux
34,1,2025-03-13 13:15:36,878.99,lux
35,1,2025-03-13 16:15:36,811.69,lux
36,1,2025-03-13 19:15:36,325.35,lux
37,1,2025-03-13 22:15:36,68.39,lux
38,1,2025-03-14 01:15:36,13.7,lux
39,1,2025-03-14 04:15:36,216.8,lux
40,1,2025-03-14 07:15:36,641.8,lux
41,1,2025-03-14 10:15:36,1000.0,lux
42,1,2025-03-14 13:15:36,999.81,lux
43,1,2025-03-14 16:15:36,741.33,lux
44,1,2025-03-14 19:15:36,359.43,lux
45,1,2025-03-14 22:15:36,57.08,lux
46,1,2025-03-15 01:15:36,15.81,lux
47,1,2025-03-15 04:15:36,238.48,lux
48,1,2025-03-15 07:15:36,695.95,lux
49,1,2025-03-15 10:15:36,965.07,lux
50,1,2025-03-15 13:15:36,809.66,lux
51,1,2025-03-15 16:15:36,774.31,lux
52,1,2025-03-15 19:15:36,356.32,lux
53,1,2025-03-15 22:15:36,62.45,lux
54,1,2025-03-16 01:15:36,18.08,lux
55,1,2025-03-16 04:15:36,275.77,lux
56,1,2025-03-16 07:15:36,688.03,lux
57,1,2025-03-16 10:15:36,854.71,lux
58,1,2025-03-16 13:15:36,952.57,lux
