mereni_id,sensor_id,casova_znamka,hodnota,jednotka
861,3,2025-03-24 22:15:36,25.19,%
1600,5,2025-03-25 07:15:36,1304.62,ppm
133,1,2025-03-25 22:15:36,59.87,lux
5554,16,2025-03-13 13:15:36,35.0,°C
3251,9,2025-04-05 20:15:36,848.26,ppm
3346,10,2025-03-13 13:15:36,90.0,dB
5813,16,2025-04-05 06:15:36,25.55,°C
4728,13,2025-04-06 01:15:36,20.16,%
4311,12,2025-04-04 00:15:36,401.77,ppm
69,1,2025-03-17 22:15:36,69.41,lux
6252,17,2025-04-08 05:15:36,21.61,°C
5420,15,2025-04-04 05:15:36,19.77,°C
5146,14,2025-04-08 03:15:36,148.25,lux
1258,4,2025-03-28 13:15:36,35.0,°C
2821,8,2025-04-03 06:15:36,24.3,°C
1047,3,2025-04-06 00:15:36,21.3,%
484,2,2025-03-23 19:15:36,22.87,°C
3204,9,2025-04-03 21:15:36,715.43,ppm
1006,3,2025-04-04 07:15:36,66.58,%
2009,6,2025-03-30 10:15:36,35.0,°C
4967,14,2025-03-31 16:15:36,679.54,lux
6751,19,2025-03-25 04:15:36,272.36,lux
2292,7,2025-03-19 19:15:36,50.44,%
5425,15,2025-04-04 10:15:36,33.06,°C
967,3,2025-04-02 16:15:36,67.6,%
6433,18,2025-03-31 10:15:36,72.67,%
2992,9,2025-03-15 07:15:36,1491.78,ppm
6334,18,2025-03-19 01:15:36,20.58,%
3193,9,2025-04-03 10:15:36,2000.0,ppm
5679,16,2025-03-29 04:15:36,20.72,°C
5114,14,2025-04-06 19:15:36,318.55,lux
1076,3,2025-04-07 05:15:36,43.67,%
6054,17,2025-03-30 01:15:36,16.65,°C
3834,11,2025-03-28 13:15:36,1692.02,ppm
3620,10,2025-04-05 21:15:36,42.26,dB
4987,14,2025-04-01 12:15:36,977.9,lux
5059,14,2025-04-04 12:15:36,986.15,lux
5828,16,2025-04-05 21:15:36,17.99,°C
3210,9,2025-04-04 03:15:36,662.94,ppm
4208,12,2025-03-29 07:15:36,1005.39,ppm
395,2,2025-03-12 16:15:36,33.54,°C
7235,20,2025-04-03 04:15:36,749.75,ppm
452,2,2025-03-19 19:15:36,24.55,°C
1550,5,2025-03-19 01:15:36,479.68,ppm
1447,4,2025-04-07 08:15:36,28.41,°C
6078,17,2025-03-31 23:15:36,15.0,°C
6760,19,2025-03-26 07:15:36,639.36,lux
3624,10,2025-04-06 01:15:36,31.17,dB
3780,11,2025-03-21 19:15:36,984.4,ppm
6961,19,2025-04-07 02:15:36,74.47,lux
4677,13,2025-04-03 22:15:36,26.4,%
5281,15,2025-03-25 10:15:36,31.5,°C
1771,5,2025-04-05 12:15:36,2000.0,ppm
1855,6,2025-03-11 04:15:36,22.0,°C
1914,6,2025-03-18 13:15:36,35.0,°C
819,3,2025-03-19 16:15:36,73.1,%
3743,11,2025-03-17 04:15:36,825.73,ppm
2642,8,2025-03-17 13:15:36,33.9,°C
6332,18,2025-03-18 19:15:36,39.7,%
6127,17,2025-04-03 00:15:36,16.76,°C
3555,10,2025-04-03 04:15:36,36.72,dB
1367,4,2025-04-04 00:15:36,15.0,°C
2563,7,2025-04-07 20:15:36,34.03,%
4451,13,2025-03-13 16:15:36,68.91,%
5274,15,2025-03-24 13:15:36,35.0,°C
3228,9,2025-04-04 21:15:36,713.58,ppm
7322,20,2025-04-06 19:15:36,981.26,ppm
5581,16,2025-03-16 22:15:36,19.44,°C
3763,11,2025-03-19 16:15:36,1469.92,ppm
2713,8,2025-03-26 10:15:36,35.0,°C
4471,13,2025-03-16 04:15:36,38.71,%
1582,5,2025-03-23 01:15:36,476.34,ppm
1099,3,2025-04-08 04:15:36,40.94,%
5650,16,2025-03-25 13:15:36,35.0,°C
5587,16,2025-03-17 16:15:36,28.07,°C
1967,6,2025-03-25 04:15:36,19.61,°C
3458,10,2025-03-27 13:15:36,85.63,dB
4658,13,2025-04-03 03:15:36,27.4,%
5837,16,2025-04-06 06:15:36,20.24,°C
3587,10,2025-04-04 12:15:36,83.74,dB
1901,6,2025-03-16 22:15:36,17.48,°C
3811,11,2025-03-25 16:15:36,1440.98,ppm
2584,8,2025-03-10 07:15:36,30.96,°C
6002,17,2025-03-23 13:15:36,32.47,°C
1837,5,2025-04-08 06:15:36,1062.75,ppm
6262,18,2025-03-10 01:15:36,22.83,%
6015,17,2025-03-25 04:15:36,20.96,°C
6494,18,2025-04-02 23:15:36,22.6,%
13,1,2025-03-10 22:15:36,68.61,lux
6905,19,2025-04-04 18:15:36,481.64,lux
4925,14,2025-03-26 22:15:36,69.98,lux
2974,9,2025-03-13 01:15:36,512.17,ppm
3997,11,2025-04-06 06:15:36,950.66,ppm
5493,15,2025-04-07 06:15:36,24.05,°C
4914,14,2025-03-25 13:15:36,998.49,lux
4025,11,2025-04-07 10:15:36,1764.37,ppm
1325,4,2025-04-02 06:15:36,25.16,°C
6761,19,2025-03-26 10:15:36,1000.0,lux
7294,20,2025-04-05 15:15:36,1592.96,ppm
518,2,2025-03-28 01:15:36,15.0,°C
3572,10,2025-04-03 21:15:36,43.88,dB
3722,11,2025-03-14 13:15:36,2000.0,ppm
5686,16,2025-03-30 01:15:36,15.0,°C
519,2,2025-03-28 04:15:36,20.2,°C
3576,10,2025-04-04 01:15:36,31.91,dB
5267,15,2025-03-23 16:15:36,33.28,°C
5848,16,2025-04-06 17:15:36,24.84,°C
4101,12,2025-03-15 22:15:36,431.09,ppm
5924,17,2025-03-13 19:15:36,22.6,°C
4089,12,2025-03-14 10:15:36,2000.0,ppm
4660,13,2025-04-03 05:15:36,42.26,%
1488,5,2025-03-11 07:15:36,1159.3,ppm
4693,13,2025-04-04 14:15:36,90.0,%
3330,10,2025-03-11 13:15:36,90.0,dB
6623,18,2025-04-08 08:15:36,75.15,%
7181,20,2025-03-31 22:15:36,523.13,ppm
4467,13,2025-03-15 16:15:36,78.66,%
2050,6,2025-04-01 19:15:36,22.76,°C
2781,8,2025-04-01 14:15:36,35.0,°C
6873,19,2025-04-03 10:15:36,807.06,lux
3501,10,2025-03-31 22:15:36,38.04,dB
106,1,2025-03-22 13:15:36,1000.0,lux
7260,20,2025-04-04 05:15:36,1236.45,ppm
4370,12,2025-04-06 11:15:36,2000.0,ppm
2956,9,2025-03-10 19:15:36,1166.45,ppm
965,3,2025-04-02 14:15:36,84.55,%
5226,15,2025-03-18 13:15:36,30.94,°C
7176,20,2025-03-31 17:15:36,1457.66,ppm
1280,4,2025-03-31 07:15:36,26.74,°C
2078,6,2025-04-02 23:15:36,17.19,°C
1885,6,2025-03-14 22:15:36,16.3,°C
2765,8,2025-03-31 22:15:36,16.75,°C
3921,11,2025-04-03 02:15:36,601.29,ppm
1348,4,2025-04-03 05:15:36,24.51,°C
202,1,2025-04-01 11:15:36,1000.0,lux
6975,19,2025-04-07 16:15:36,851.19,lux
6816,19,2025-04-01 01:15:36,17.34,lux
1621,5,2025-03-27 22:15:36,512.92,ppm
234,1,2025-04-02 19:15:36,346.44,lux
6182,17,2025-04-05 07:15:36,26.75,°C
5938,17,2025-03-15 13:15:36,29.18,°C
2574,7,2025-04-08 07:15:36,63.74,%
2467,7,2025-04-03 20:15:36,34.64,%
1370,4,2025-04-04 03:15:36,16.34,°C
2261,7,2025-03-15 22:15:36,25.77,%
2918,8,2025-04-07 07:15:36,29.43,°C
3165,9,2025-04-02 06:15:36,1061.48,ppm
4383,12,2025-04-07 00:15:36,400.0,ppm
6059,17,2025-03-30 16:15:36,35.0,°C
1973,6,2025-03-25 22:15:36,17.41,°C
168,1,2025-03-30 07:15:36,748.8,lux
7358,20,2025-04-08 07:15:36,1374.54,ppm
3725,11,2025-03-14 22:15:36,475.63,ppm
5610,16,2025-03-20 13:15:36,34.79,°C
6926,19,2025-04-05 15:15:36,740.75,lux
6582,18,2025-04-06 15:15:36,81.7,%
4458,13,2025-03-14 13:15:36,76.97,%
1951,6,2025-03-23 04:15:36,16.45,°C
5461,15,2025-04-05 22:15:36,16.28,°C
4623,13,2025-04-01 16:15:36,66.07,%
3526,10,2025-04-01 23:15:36,30.0,dB
3252,9,2025-04-05 21:15:36,653.23,ppm
5113,14,2025-04-06 18:15:36,498.01,lux
3594,10,2025-04-04 19:15:36,44.51,dB
1211,4,2025-03-22 16:15:36,26.27,°C
105,1,2025-03-22 10:15:36,917.96,lux
978,3,2025-04-03 03:15:36,22.92,%
1548,5,2025-03-18 19:15:36,1022.91,ppm
1592,5,2025-03-24 07:15:36,996.01,ppm
1704,5,2025-04-02 17:15:36,1563.2,ppm
5785,16,2025-04-04 02:15:36,16.11,°C
5556,16,2025-03-13 19:15:36,19.16,°C
2419,7,2025-04-01 20:15:36,38.97,%
5667,16,2025-03-27 16:15:36,32.08,°C
4573,13,2025-03-28 22:15:36,26.69,%
4159,12,2025-03-23 04:15:36,748.01,ppm
4393,12,2025-04-07 10:15:36,1954.21,ppm
1608,5,2025-03-26 07:15:36,1635.66,ppm
1882,6,2025-03-14 13:15:36,35.0,°C
3421,10,2025-03-22 22:15:36,31.95,dB
3372,10,2025-03-16 19:15:36,45.99,dB
7189,20,2025-04-01 06:15:36,1166.02,ppm
1928,6,2025-03-20 07:15:36,26.8,°C
754,3,2025-03-11 13:15:36,90.0,%
3922,11,2025-04-03 03:15:36,648.54,ppm
189,1,2025-03-31 22:15:36,61.31,lux
2326,7,2025-03-24 01:15:36,22.61,%
1571,5,2025-03-21 16:15:36,1727.08,ppm
7348,20,2025-04-07 21:15:36,552.64,ppm
6005,17,2025-03-23 22:15:36,15.99,°C
4339,12,2025-04-05 04:15:36,634.93,ppm
1629,5,2025-03-28 22:15:36,510.62,ppm
5869,16,2025-04-07 14:15:36,31.46,°C
3648,10,2025-04-07 01:15:36,31.68,dB
1722,5,2025-04-03 11:15:36,1921.54,ppm
1180,4,2025-03-18 19:15:36,19.94,°C
6340,18,2025-03-19 19:15:36,45.73,%
535,2,2025-03-30 04:15:36,18.7,°C
3992,11,2025-04-06 01:15:36,407.12,ppm
3266,9,2025-04-06 11:15:36,2000.0,ppm
5099,14,2025-04-06 04:15:36,230.83,lux
903,3,2025-03-30 04:15:36,37.61,%
5348,15,2025-04-01 05:15:36,17.48,°C
2099,6,2025-04-03 20:15:36,16.89,°C
346,1,2025-04-07 11:15:36,1000.0,lux
6990,19,2025-04-08 07:15:36,625.76,lux
3776,11,2025-03-21 07:15:36,1473.4,ppm
455,2,2025-03-20 04:15:36,18.94,°C
4676,13,2025-04-03 21:15:36,27.34,%
642,2,2025-04-04 11:15:36,35.0,°C
788,3,2025-03-15 19:15:36,48.05,%
385,2,2025-03-11 10:15:36,31.1,°C
601,2,2025-04-02 18:15:36,26.89,°C
2077,6,2025-04-02 22:15:36,17.35,°C
6754,19,2025-03-25 13:15:36,1000.0,lux
792,3,2025-03-16 07:15:36,65.39,%
856,3,2025-03-24 07:15:36,60.4,%
6254,17,2025-04-08 07:15:36,28.42,°C
2720,8,2025-03-27 07:15:36,27.93,°C
5436,15,2025-04-04 21:15:36,16.83,°C
3778,11,2025-03-21 13:15:36,1730.4,ppm
2023,6,2025-03-31 16:15:36,34.08,°C
3890,11,2025-04-01 19:15:36,1077.31,ppm
150,1,2025-03-28 01:15:36,17.54,lux
3706,11,2025-03-12 13:15:36,2000.0,ppm
5195,15,2025-03-14 16:15:36,24.46,°C
